dist|perl-5.31.0.author|perl-5.31.0.distname|perl-5.31.0.distversion|perl-5.31.0.grade|perl-5.31.1.author|perl-5.31.1.distname|perl-5.31.1.distversion|perl-5.31.1.grade
RDF-TrineX-Functions|TOBYINK|RDF-TrineX-Functions-0.005|0.005|PASS|TOBYINK|RDF-TrineX-Functions-0.005|0.005|PASS
REST-Client|KKANE|REST-Client-273|273|PASS|KKANE|REST-Client-273|273|PASS
RPC-ExtDirect|TOKAREV|RPC-ExtDirect-3.24|3.24|PASS|TOKAREV|RPC-ExtDirect-3.24|3.24|PASS
RPC-XML|RJRAY|RPC-XML-0.80|0.80|PASS|RJRAY|RPC-XML-0.80|0.80|PASS
RPi-Const|STEVEB|RPi-Const-1.04|1.04|PASS|STEVEB|RPi-Const-1.04|1.04|PASS
RPi-WiringPi-Constant|STEVEB|RPi-WiringPi-Constant-1.02|1.02|PASS|STEVEB|RPi-WiringPi-Constant-1.02|1.02|PASS
Readonly|SANKO|Readonly-2.05|2.05|PASS|SANKO|Readonly-2.05|2.05|PASS
Readonly-XS|ROODE|Readonly-XS-1.05|1.05|PASS|ROODE|Readonly-XS-1.05|1.05|PASS
Redis|DAMS|Redis-1.991|1.991|PASS|DAMS|Redis-1.991|1.991|PASS
RedisDB|ZWON|RedisDB-2.54|2.54|PASS|ZWON|RedisDB-2.54|2.54|PASS
RedisDB-Parser|ZWON|RedisDB-Parser-2.23|2.23|PASS|ZWON|RedisDB-Parser-2.23|2.23|PASS
Ref-Util|ARC|Ref-Util-0.204|0.204|PASS|ARC|Ref-Util-0.204|0.204|PASS
Ref-Util-XS|XSAWYERX|Ref-Util-XS-0.117|0.117|PASS|XSAWYERX|Ref-Util-XS-0.117|0.117|PASS
Reflex|RCAPUTO|Reflex-0.100|0.100|PASS|RCAPUTO|Reflex-0.100|0.100|PASS
Regexp-Assemble|RSAVAGE|Regexp-Assemble-0.38|0.38|PASS|RSAVAGE|Regexp-Assemble-0.38|0.38|PASS
Regexp-Common|ABIGAIL|Regexp-Common-2017060201|2017060201|PASS|ABIGAIL|Regexp-Common-2017060201|2017060201|PASS
Regexp-Common-Email-Address|CWEST|Regexp-Common-Email-Address-1.01|1.01|PASS|CWEST|Regexp-Common-Email-Address-1.01|1.01|PASS
Regexp-Common-net-CIDR|BPS|Regexp-Common-net-CIDR-0.03|0.03|PASS|BPS|Regexp-Common-net-CIDR-0.03|0.03|PASS
Regexp-Debugger|DCONWAY|Regexp-Debugger-0.002001|0.002001|PASS|DCONWAY|Regexp-Debugger-0.002001|0.002001|PASS
Regexp-Grammars|DCONWAY|Regexp-Grammars-1.051|1.051|PASS|DCONWAY|Regexp-Grammars-1.051|1.051|PASS
Regexp-IPv6|SALVA|Regexp-IPv6-0.03|0.03|PASS|SALVA|Regexp-IPv6-0.03|0.03|PASS
Regexp-Log|BOOK|Regexp-Log-0.06|0.06|PASS|BOOK|Regexp-Log-0.06|0.06|PASS
Regexp-RegGrp|LEEJO|Regexp-RegGrp-2.01|2.01|PASS|LEEJO|Regexp-RegGrp-2.01|2.01|PASS
Regexp-SQL-LIKE|DAGOLDEN|Regexp-SQL-LIKE-0.001|0.001|PASS|DAGOLDEN|Regexp-SQL-LIKE-0.001|0.001|PASS
Regexp-Trie|DANKOGAI|Regexp-Trie-0.02|0.02|PASS|DANKOGAI|Regexp-Trie-0.02|0.02|PASS
Regexp-Util|TOBYINK|Regexp-Util-0.005|0.005|PASS|TOBYINK|Regexp-Util-0.005|0.005|PASS
Regexp-Wildcards|VPIT|Regexp-Wildcards-1.05|1.05|PASS|VPIT|Regexp-Wildcards-1.05|1.05|PASS
Reply|DOY|Reply-0.42|0.42|PASS|DOY|Reply-0.42|0.42|PASS
Return-MultiLevel|MAUKE|Return-MultiLevel-0.05|0.05|PASS|MAUKE|Return-MultiLevel-0.05|0.05|PASS
Return-Type|TOBYINK|Return-Type-0.005|0.005|PASS|TOBYINK|Return-Type-0.005|0.005|PASS
Return-Value|RJBS|Return-Value-1.666005|1.666005|PASS|RJBS|Return-Value-1.666005|1.666005|PASS
Rex|JFRIED|Rex-1.6.0|1.6.0|PASS|JFRIED|Rex-1.6.0|1.6.0|PASS
Role-Basic|OVID|Role-Basic-0.13|0.13|PASS|OVID|Role-Basic-0.13|0.13|PASS
Role-Commons|TOBYINK|Role-Commons-0.104|0.104|PASS|TOBYINK|Role-Commons-0.104|0.104|PASS
Role-HasMessage|RJBS|Role-HasMessage-0.006|0.006|PASS|RJBS|Role-HasMessage-0.006|0.006|PASS
Role-HasPayload|RJBS|Role-HasPayload-0.006|0.006|PASS|RJBS|Role-HasPayload-0.006|0.006|PASS
Role-Identifiable|RJBS|Role-Identifiable-0.007|0.007|PASS|RJBS|Role-Identifiable-0.007|0.007|PASS
Role-REST-Client|KAARE|Role-REST-Client-0.23|0.23|PASS|KAARE|Role-REST-Client-0.23|0.23|PASS
Role-Tiny|HAARG|Role-Tiny-2.000006|2.000006|PASS|HAARG|Role-Tiny-2.000006|2.000006|PASS
Roman|CHORNY|Roman-1.24|1.24|PASS|CHORNY|Roman-1.24|1.24|PASS
Rose-DB|JSIRACUSA|Rose-DB-0.778|0.778|PASS|JSIRACUSA|Rose-DB-0.778|0.778|PASS
Rose-DB-Object|JSIRACUSA|Rose-DB-Object-0.815|0.815|PASS|JSIRACUSA|Rose-DB-Object-0.815|0.815|PASS
Rose-DBx-TestDB|KARMAN|Rose-DBx-TestDB-0.05|0.05|PASS|KARMAN|Rose-DBx-TestDB-0.05|0.05|PASS
Rose-DateTime|JSIRACUSA|Rose-DateTime-0.540|0.540|PASS|JSIRACUSA|Rose-DateTime-0.540|0.540|PASS
Rose-HTML-Objects|JSIRACUSA|Rose-HTML-Objects-0.623|0.623|PASS|JSIRACUSA|Rose-HTML-Objects-0.623|0.623|PASS
Rose-Object|JSIRACUSA|Rose-Object-0.860|0.860|PASS|JSIRACUSA|Rose-Object-0.860|0.860|PASS
Rose-ObjectX-CAF|KARMAN|Rose-ObjectX-CAF-0.03|0.03|PASS|KARMAN|Rose-ObjectX-CAF-0.03|0.03|PASS
Rose-URI|JSIRACUSA|Rose-URI-1.00|1.00|PASS|JSIRACUSA|Rose-URI-1.00|1.00|PASS
Router-Boom|TOKUHIROM|Router-Boom-1.03|1.03|PASS|TOKUHIROM|Router-Boom-1.03|1.03|PASS
Router-Simple|TOKUHIROM|Router-Simple-0.17|0.17|PASS|TOKUHIROM|Router-Simple-0.17|0.17|PASS
Ryu|TEAM|Ryu-1.005|1.005|PASS|TEAM|Ryu-1.005|1.005|PASS
SMS-Send|ADAMK|SMS-Send-1.06|1.06|PASS|ADAMK|SMS-Send-1.06|1.06|PASS
SOAP-Lite|PHRED|SOAP-Lite-1.27|1.27|PASS|PHRED|SOAP-Lite-1.27|1.27|PASS
SOAP-WSDL|SWALTERS|SOAP-WSDL-3.003|3.003|PASS|SWALTERS|SOAP-WSDL-3.003|3.003|PASS
SQL-Abstract|ILMARI|SQL-Abstract-1.86|1.86|PASS|ILMARI|SQL-Abstract-1.86|1.86|PASS
SQL-Abstract-Limit|DAVEBAIRD|SQL-Abstract-Limit-0.141|0.141|PASS|DAVEBAIRD|SQL-Abstract-Limit-0.141|0.141|PASS
SQL-Abstract-More|DAMI|SQL-Abstract-More-1.33|1.33|PASS|DAMI|SQL-Abstract-More-1.33|1.33|PASS
SQL-Maker|TOKUHIROM|SQL-Maker-1.21|1.21|PASS|TOKUHIROM|SQL-Maker-1.21|1.21|PASS
SQL-NamedPlaceholder|SATOH|SQL-NamedPlaceholder-0.10|0.10|PASS|SATOH|SQL-NamedPlaceholder-0.10|0.10|PASS
SQL-QueryMaker|KAZUHO|SQL-QueryMaker-0.03|0.03|PASS|KAZUHO|SQL-QueryMaker-0.03|0.03|PASS
SQL-ReservedWords|CHANSEN|SQL-ReservedWords-0.8|0.8|PASS|CHANSEN|SQL-ReservedWords-0.8|0.8|PASS
SQL-SplitStatement|EMAZEP|SQL-SplitStatement-1.00020|1.00020|FAIL|EMAZEP|SQL-SplitStatement-1.00020|1.00020|FAIL
SQL-Statement|REHSACK|SQL-Statement-1.412|1.412|PASS|REHSACK|SQL-Statement-1.412|1.412|PASS
SQL-Tokenizer|IZUT|SQL-Tokenizer-0.24|0.24|PASS|IZUT|SQL-Tokenizer-0.24|0.24|PASS
SQL-Translator|ILMARI|SQL-Translator-1.60|1.60|PASS|ILMARI|SQL-Translator-1.60|1.60|PASS
SUPER|CHROMATIC|SUPER-1.20190531|1.20190531|PASS|CHROMATIC|SUPER-1.20190531|1.20190531|PASS
SVG|MANWAR|SVG-2.84|2.84|PASS|MANWAR|SVG-2.84|2.84|PASS
SVG-Parser|PETERW|SVG-Parser-1.03|1.03|PASS|PETERW|SVG-Parser-1.03|1.03|PASS
SVN-Dump|BOOK|SVN-Dump-0.06|0.06|PASS|BOOK|SVN-Dump-0.06|0.06|PASS
SVN-Notify|MPGHF|SVN-Notify-2.87|2.87|PASS|MPGHF|SVN-Notify-2.87|2.87|PASS
SVN-Simple|CLKAO|SVN-Simple-0.28|0.28|FAIL|CLKAO|SVN-Simple-0.28|0.28|FAIL
SWISH-3|KARMAN|SWISH-3-1.000015|1.000015|PASS|KARMAN|SWISH-3-1.000015|1.000015|PASS
SWISH-Filter|KARMAN|SWISH-Filter-0.191|0.191|PASS|KARMAN|SWISH-Filter-0.191|0.191|PASS
SWISH-Prog|KARMAN|SWISH-Prog-0.75|0.75|PASS|KARMAN|SWISH-Prog-0.75|0.75|PASS
Safe-Isa|ETHER|Safe-Isa-1.000010|1.000010|PASS|ETHER|Safe-Isa-1.000010|1.000010|PASS
Salvation-Method-Signatures|GFILATOV|Salvation-Method-Signatures-0.04|0.04|PASS|GFILATOV|Salvation-Method-Signatures-0.04|0.04|PASS
Salvation-TC|GFILATOV|Salvation-TC-0.12|0.12|PASS|GFILATOV|Salvation-TC-0.12|0.12|PASS
Salvation-UpdateGvFLAGS|GFILATOV|Salvation-UpdateGvFLAGS-0.01|0.01|PASS|GFILATOV|Salvation-UpdateGvFLAGS-0.01|0.01|PASS
Scalar-Defer|JESSE|Scalar-Defer-0.23|0.23|PASS|JESSE|Scalar-Defer-0.23|0.23|PASS
Scalar-Does|TOBYINK|Scalar-Does-0.203|0.203|PASS|TOBYINK|Scalar-Does-0.203|0.203|PASS
Scalar-String|ZEFRAM|Scalar-String-0.003|0.003|PASS|ZEFRAM|Scalar-String-0.003|0.003|PASS
Scalar-Util-Numeric|CHOCOLATE|Scalar-Util-Numeric-0.40|0.40|PASS|CHOCOLATE|Scalar-Util-Numeric-0.40|0.40|PASS
Scope-Guard|CHOCOLATE|Scope-Guard-0.21|0.21|PASS|CHOCOLATE|Scope-Guard-0.21|0.21|PASS
Scope-Upper|VPIT|Scope-Upper-0.32|0.32|PASS|VPIT|Scope-Upper-0.32|0.32|PASS
Search-Elasticsearch|DRTECH|Search-Elasticsearch-6.00|6.00|PASS|DRTECH|Search-Elasticsearch-6.00|6.00|PASS
Search-GIN|ETHER|Search-GIN-0.11|0.11|PASS|ETHER|Search-GIN-0.11|0.11|PASS
Search-OpenSearch|KARMAN|Search-OpenSearch-0.409|0.409|PASS|KARMAN|Search-OpenSearch-0.409|0.409|PASS
Search-OpenSearch-Engine-Lucy|KARMAN|Search-OpenSearch-Engine-Lucy-0.400|0.400|PASS|KARMAN|Search-OpenSearch-Engine-Lucy-0.400|0.400|PASS
Search-Query|KARMAN|Search-Query-0.307|0.307|PASS|KARMAN|Search-Query-0.307|0.307|PASS
Search-Query-Dialect-Lucy|KARMAN|Search-Query-Dialect-Lucy-0.202|0.202|PASS|KARMAN|Search-Query-Dialect-Lucy-0.202|0.202|PASS
Search-QueryParser|DAMI|Search-QueryParser-0.94|0.94|PASS|DAMI|Search-QueryParser-0.94|0.94|PASS
Search-QueryParser-SQL|KARMAN|Search-QueryParser-SQL-0.010|0.010|PASS|KARMAN|Search-QueryParser-SQL-0.010|0.010|PASS
Search-Tokenizer|DAMI|Search-Tokenizer-1.01|1.01|PASS|DAMI|Search-Tokenizer-1.01|1.01|PASS
Search-Tools|KARMAN|Search-Tools-1.007|1.007|PASS|KARMAN|Search-Tools-1.007|1.007|PASS
Selenium-Remote-Driver|TEODESIAN|Selenium-Remote-Driver-1.33|1.33|PASS|TEODESIAN|Selenium-Remote-Driver-1.33|1.33|PASS
Sereal|YVES|Sereal-4.007|4.007|PASS|YVES|Sereal-4.007|4.007|PASS
Sereal-Decoder|YVES|Sereal-Decoder-4.007|4.007|PASS|YVES|Sereal-Decoder-4.007|4.007|PASS
Sereal-Encoder|YVES|Sereal-Encoder-4.007|4.007|PASS|YVES|Sereal-Encoder-4.007|4.007|PASS
Serge|AFAN|Serge-v1.3.2|v1.3.2|FAIL|AFAN|Serge-v1.3.2|v1.3.2|FAIL
Server-Starter|KAZUHO|Server-Starter-0.34|0.34|FAIL|KAZUHO|Server-Starter-0.34|0.34|PASS
Session-Storage-Secure|DAGOLDEN|Session-Storage-Secure-0.011|0.011|PASS|DAGOLDEN|Session-Storage-Secure-0.011|0.011|PASS
Session-Token|FRACTAL|Session-Token-1.503|1.503|PASS|FRACTAL|Session-Token-1.503|1.503|PASS
Set-Array|RSAVAGE|Set-Array-0.30|0.30|PASS|RSAVAGE|Set-Array-0.30|0.30|PASS
Set-Crontab|AMS|Set-Crontab-1.03|1.03|PASS|AMS|Set-Crontab-1.03|1.03|PASS
Set-CrossProduct|BDFOY|Set-CrossProduct-2.003|2.003|PASS|BDFOY|Set-CrossProduct-2.003|2.003|PASS
Set-Functional|MORNINDED|Set-Functional-1.04|1.04|PASS|MORNINDED|Set-Functional-1.04|1.04|PASS
Set-Infinite|FGLOCK|Set-Infinite-0.65|0.65|PASS|FGLOCK|Set-Infinite-0.65|0.65|PASS
Set-IntSpan|SWMCD|Set-IntSpan-1.19|1.19|PASS|SWMCD|Set-IntSpan-1.19|1.19|PASS
Set-Intersection|TURUGINA|Set-Intersection-0.04|0.04|PASS|TURUGINA|Set-Intersection-0.04|0.04|PASS
Set-Light|TELS|Set-Light-0.04|0.04|PASS|TELS|Set-Light-0.04|0.04|PASS
Set-Object|RURBAN|Set-Object-1.39|1.39|PASS|RURBAN|Set-Object-1.39|1.39|PASS
Set-Scalar|DAVIDO|Set-Scalar-1.29|1.29|PASS|DAVIDO|Set-Scalar-1.29|1.29|PASS
Set-Tiny|TRENDELS|Set-Tiny-0.04|0.04|PASS|TRENDELS|Set-Tiny-0.04|0.04|PASS
Shell-Command|FLORA|Shell-Command-0.06|0.06|PASS|FLORA|Shell-Command-0.06|0.06|PASS
Shell-Config-Generate|PLICEASE|Shell-Config-Generate-0.33|0.33|PASS|PLICEASE|Shell-Config-Generate-0.33|0.33|PASS
Shell-Guess|PLICEASE|Shell-Guess-0.09|0.09|PASS|PLICEASE|Shell-Guess-0.09|0.09|PASS
Shell-Perl|FERREIRA|Shell-Perl-0.004|0.004|PASS|FERREIRA|Shell-Perl-0.004|0.004|PASS
Signal-Mask|LEONT|Signal-Mask-0.008|0.008|PASS|LEONT|Signal-Mask-0.008|0.008|PASS
Smart-Args|TOKUHIROM|Smart-Args-0.14|0.14|PASS|TOKUHIROM|Smart-Args-0.14|0.14|PASS
Smart-Comments|NEILB|Smart-Comments-1.06|1.06|PASS|NEILB|Smart-Comments-1.06|1.06|PASS
Snowball-Norwegian|ASKSH|Snowball-Norwegian-1.2|1.2|PASS|ASKSH|Snowball-Norwegian-1.2|1.2|PASS
Snowball-Swedish|ASKSH|Snowball-Swedish-1.2|1.2|PASS|ASKSH|Snowball-Swedish-1.2|1.2|PASS
Socket-GetAddrInfo|PEVANS|Socket-GetAddrInfo-0.22|0.22|PASS|PEVANS|Socket-GetAddrInfo-0.22|0.22|PASS
Socket6|UMEMOTO|Socket6-0.29|0.29|PASS|UMEMOTO|Socket6-0.29|0.29|PASS
Software-License|LEONT|Software-License-0.103014|0.103014|PASS|LEONT|Software-License-0.103014|0.103014|PASS
Software-Release|GPHAT|Software-Release-0.03|0.03|PASS|GPHAT|Software-Release-0.03|0.03|PASS
Sort-ByExample|RJBS|Sort-ByExample-0.007|0.007|PASS|RJBS|Sort-ByExample-0.007|0.007|PASS
Sort-Key|SALVA|Sort-Key-1.33|1.33|PASS|SALVA|Sort-Key-1.33|1.33|PASS
Sort-Key-Top|SALVA|Sort-Key-Top-0.08|0.08|PASS|SALVA|Sort-Key-Top-0.08|0.08|PASS
Sort-Naturally|BINGOS|Sort-Naturally-1.03|1.03|PASS|BINGOS|Sort-Naturally-1.03|1.03|PASS
Sort-SQL|KARMAN|Sort-SQL-0.08|0.08|PASS|KARMAN|Sort-SQL-0.08|0.08|PASS
Sort-Versions|NEILB|Sort-Versions-1.62|1.62|PASS|NEILB|Sort-Versions-1.62|1.62|PASS
Specio|DROLSKY|Specio-0.43|0.43|PASS|DROLSKY|Specio-0.43|0.43|PASS
Specio-Library-Path-Tiny|DROLSKY|Specio-Library-Path-Tiny-0.04|0.04|PASS|DROLSKY|Specio-Library-Path-Tiny-0.04|0.04|PASS
Spellunker|TOKUHIROM|Spellunker-v0.4.0|v0.4.0|PASS|TOKUHIROM|Spellunker-v0.4.0|v0.4.0|PASS
Spiffy|INGY|Spiffy-0.46|0.46|PASS|INGY|Spiffy-0.46|0.46|PASS
Spoon|INGY|Spoon-0.24|0.24|PASS|INGY|Spoon-0.24|0.24|PASS
Spork|INGY|Spork-0.21|0.21|PASS|INGY|Spork-0.21|0.21|PASS
Spreadsheet-ParseExcel|DOUGW|Spreadsheet-ParseExcel-0.65|0.65|PASS|DOUGW|Spreadsheet-ParseExcel-0.65|0.65|PASS
Spreadsheet-ParseXLSX|DOY|Spreadsheet-ParseXLSX-0.27|0.27|PASS|DOY|Spreadsheet-ParseXLSX-0.27|0.27|PASS
Spreadsheet-Read|HMBRAND|Spreadsheet-Read-0.80|0.80|PASS|HMBRAND|Spreadsheet-Read-0.80|0.80|PASS
Spreadsheet-WriteExcel|JMCNAMARA|Spreadsheet-WriteExcel-2.40|2.40|PASS|JMCNAMARA|Spreadsheet-WriteExcel-2.40|2.40|PASS
Spreadsheet-WriteExcel-Simple|TMTM|Spreadsheet-WriteExcel-Simple-1.04|1.04|PASS|TMTM|Spreadsheet-WriteExcel-Simple-1.04|1.04|PASS
Spreadsheet-XLSX|MIKEB|Spreadsheet-XLSX-0.15|0.15|PASS|MIKEB|Spreadsheet-XLSX-0.15|0.15|PASS
Starch|BLUEFEET|Starch-0.14|0.14|PASS|BLUEFEET|Starch-0.14|0.14|PASS
Starlet|||||KAZUHO|Starlet-0.31|0.31|PASS
Starman|MIYAGAWA|Starman-0.4015|0.4015|PASS|MIYAGAWA|Starman-0.4015|0.4015|PASS
Statistics-Basic|JETTERO|Statistics-Basic-1.6611|1.6611|PASS|JETTERO|Statistics-Basic-1.6611|1.6611|PASS
Statistics-CaseResampling|SMUELLER|Statistics-CaseResampling-0.15|0.15|PASS|SMUELLER|Statistics-CaseResampling-0.15|0.15|PASS
Statistics-ChiSquare|DCANTRELL|Statistics-ChiSquare-1.0000|1.0000|PASS|DCANTRELL|Statistics-ChiSquare-1.0000|1.0000|PASS
Statistics-Data|RGARTON|Statistics-Data-0.11|0.11|PASS|RGARTON|Statistics-Data-0.11|0.11|PASS
Statistics-Descriptive|SHLOMIF|Statistics-Descriptive-3.0702|3.0702|PASS|SHLOMIF|Statistics-Descriptive-3.0702|3.0702|PASS
Statistics-Lite|BRIANL|Statistics-Lite-3.62|3.62|PASS|BRIANL|Statistics-Lite-3.62|3.62|PASS
Statistics-Regression|IAWELCH|Statistics-Regression-0.53|0.53|PASS|IAWELCH|Statistics-Regression-0.53|0.53|PASS
Statistics-Zed|RGARTON|Statistics-Zed-0.10|0.10|PASS|RGARTON|Statistics-Zed-0.10|0.10|PASS
Stream|GARY|Stream-1.00|1.00|FAIL|GARY|Stream-1.00|1.00|FAIL
Stream-Buffered|DOY|Stream-Buffered-0.03|0.03|PASS|DOY|Stream-Buffered-0.03|0.03|PASS
String-Approx|JHI|String-Approx-3.28|3.28|PASS|JHI|String-Approx-3.28|3.28|PASS
String-BOM|DMUEY|String-BOM-0.3|0.3|PASS|DMUEY|String-BOM-0.3|0.3|PASS
String-BufferStack|ALEXMV|String-BufferStack-1.16|1.16|PASS|ALEXMV|String-BufferStack-1.16|1.16|PASS
String-CRC32|LEEJO|String-CRC32-1.7|1.7|PASS|LEEJO|String-CRC32-1.7|1.7|PASS
String-CamelCase|HIO|String-CamelCase-0.04|0.04|PASS|HIO|String-CamelCase-0.04|0.04|PASS
String-Clean|NOTBENH|String-Clean-0.031|0.031|PASS|NOTBENH|String-Clean-0.031|0.031|PASS
String-Compare-ConstantTime|FRACTAL|String-Compare-ConstantTime-0.321|0.321|PASS|FRACTAL|String-Compare-ConstantTime-0.321|0.321|PASS
String-Errf|RJBS|String-Errf-0.008|0.008|PASS|RJBS|String-Errf-0.008|0.008|PASS
String-Escape|EVO|String-Escape-2010.002|2010.002|PASS|EVO|String-Escape-2010.002|2010.002|PASS
String-Flogger|RJBS|String-Flogger-1.101245|1.101245|PASS|RJBS|String-Flogger-1.101245|1.101245|PASS
String-Format|SREZIC|String-Format-1.18|1.18|PASS|SREZIC|String-Format-1.18|1.18|PASS
String-Formatter|RJBS|String-Formatter-0.102084|0.102084|PASS|RJBS|String-Formatter-0.102084|0.102084|PASS
String-Koremutake|LBROCARD|String-Koremutake-0.30|0.30|PASS|LBROCARD|String-Koremutake-0.30|0.30|PASS
String-Numeric|CHANSEN|String-Numeric-0.9|0.9|PASS|CHANSEN|String-Numeric-0.9|0.9|PASS
String-Perl-Warnings|BINGOS|String-Perl-Warnings-1.16|1.16|PASS|BINGOS|String-Perl-Warnings-1.16|1.16|PASS
String-Print|MARKOV|String-Print-0.93|0.93|PASS|MARKOV|String-Print-0.93|0.93|PASS
String-Random|SHLOMIF|String-Random-0.30|0.30|PASS|SHLOMIF|String-Random-0.30|0.30|PASS
String-RewritePrefix|RJBS|String-RewritePrefix-0.007|0.007|PASS|RJBS|String-RewritePrefix-0.007|0.007|PASS
String-ShellQuote|ROSCH|String-ShellQuote-1.04|1.04|PASS|ROSCH|String-ShellQuote-1.04|1.04|PASS
String-Similarity|MLEHMANN|String-Similarity-1.04|1.04|PASS|MLEHMANN|String-Similarity-1.04|1.04|PASS
String-Tagged|PEVANS|String-Tagged-0.16|0.16|PASS|PEVANS|String-Tagged-0.16|0.16|PASS
String-ToIdentifier-EN|RKITOVER|String-ToIdentifier-EN-0.12|0.12|PASS|RKITOVER|String-ToIdentifier-EN-0.12|0.12|PASS
String-Tokenizer|STEVAN|String-Tokenizer-0.06|0.06|PASS|STEVAN|String-Tokenizer-0.06|0.06|PASS
String-Trim|DOHERTY|String-Trim-0.005|0.005|PASS|DOHERTY|String-Trim-0.005|0.005|PASS
String-Truncate|RJBS|String-Truncate-1.100602|1.100602|PASS|RJBS|String-Truncate-1.100602|1.100602|PASS
String-UnicodeUTF8|DMUEY|String-UnicodeUTF8-0.23|0.23|PASS|DMUEY|String-UnicodeUTF8-0.23|0.23|PASS
String-Unquotemeta|DMUEY|String-Unquotemeta-0.1|0.1|PASS|DMUEY|String-Unquotemeta-0.1|0.1|PASS
String-Util|MIKO|String-Util-1.26|1.26|PASS|MIKO|String-Util-1.26|1.26|PASS
Struct-Dumb|PEVANS|Struct-Dumb-0.09|0.09|PASS|PEVANS|Struct-Dumb-0.09|0.09|PASS
Sub-Attribute|DCANTRELL|Sub-Attribute-0.07|0.07|PASS|DCANTRELL|Sub-Attribute-0.07|0.07|PASS
Sub-Delete|SPROUT|Sub-Delete-1.00002|1.00002|PASS|SPROUT|Sub-Delete-1.00002|1.00002|PASS
Sub-Exporter|RJBS|Sub-Exporter-0.987|0.987|PASS|RJBS|Sub-Exporter-0.987|0.987|PASS
Sub-Exporter-ForMethods|RJBS|Sub-Exporter-ForMethods-0.100052|0.100052|PASS|RJBS|Sub-Exporter-ForMethods-0.100052|0.100052|PASS
Sub-Exporter-GlobExporter|RJBS|Sub-Exporter-GlobExporter-0.005|0.005|PASS|RJBS|Sub-Exporter-GlobExporter-0.005|0.005|PASS
Sub-Exporter-Progressive|FREW|Sub-Exporter-Progressive-0.001013|0.001013|PASS|FREW|Sub-Exporter-Progressive-0.001013|0.001013|PASS
Sub-Identify|RGARCIA|Sub-Identify-0.14|0.14|PASS|RGARCIA|Sub-Identify-0.14|0.14|PASS
Sub-Infix|TOBYINK|Sub-Infix-0.004|0.004|PASS|TOBYINK|Sub-Infix-0.004|0.004|PASS
Sub-Info|EXODIST|Sub-Info-0.002|0.002|PASS|EXODIST|Sub-Info-0.002|0.002|PASS
Sub-Install|RJBS|Sub-Install-0.928|0.928|PASS|RJBS|Sub-Install-0.928|0.928|PASS
Sub-Installer|DCONWAY|Sub-Installer-v0.0.3|v0.0.3|PASS|DCONWAY|Sub-Installer-v0.0.3|v0.0.3|PASS
Sub-Metadata|ZEFRAM|Sub-Metadata-0.002|0.002|PASS|ZEFRAM|Sub-Metadata-0.002|0.002|PASS
Sub-Name|ETHER|Sub-Name-0.21|0.21|PASS|ETHER|Sub-Name-0.21|0.21|PASS
Sub-Override|OVID|Sub-Override-0.09|0.09|PASS|OVID|Sub-Override-0.09|0.09|PASS
Sub-Quote|HAARG|Sub-Quote-2.006003|2.006003|PASS|HAARG|Sub-Quote-2.006003|2.006003|PASS
Sub-Retry|TOKUHIROM|Sub-Retry-0.06|0.06|PASS|TOKUHIROM|Sub-Retry-0.06|0.06|PASS
Sub-Uplevel|DAGOLDEN|Sub-Uplevel-0.2800|0.2800|PASS|DAGOLDEN|Sub-Uplevel-0.2800|0.2800|PASS
Subclass-Of|TOBYINK|Subclass-Of-0.008|0.008|PASS|TOBYINK|Subclass-Of-0.008|0.008|PASS
Switch|CHORNY|Switch-2.17|2.17|PASS|CHORNY|Switch-2.17|2.17|PASS
Switch-Plain|MAUKE|Switch-Plain-0.0501|0.0501|PASS|MAUKE|Switch-Plain-0.0501|0.0501|PASS
Symbol-Util|DEXTER|Symbol-Util-0.0203|0.0203|PASS|DEXTER|Symbol-Util-0.0203|0.0203|PASS
Syntax-Feature-Qi|CSSON|Syntax-Feature-Qi-1.0000|1.0000|PASS|CSSON|Syntax-Feature-Qi-1.0000|1.0000|PASS
Syntax-Feature-Qs|CSSON|Syntax-Feature-Qs-1.0000|1.0000|PASS|CSSON|Syntax-Feature-Qs-1.0000|1.0000|PASS
Syntax-Highlight-Engine-Kate|MANWAR|Syntax-Highlight-Engine-Kate-0.14|0.14|PASS|MANWAR|Syntax-Highlight-Engine-Kate-0.14|0.14|PASS
Syntax-Keyword-Gather|FREW|Syntax-Keyword-Gather-1.003002|1.003002|PASS|FREW|Syntax-Keyword-Gather-1.003002|1.003002|PASS
Syntax-Keyword-Junction|FREW|Syntax-Keyword-Junction-0.003008|0.003008|PASS|FREW|Syntax-Keyword-Junction-0.003008|0.003008|PASS
Syntax-Keyword-Try|PEVANS|Syntax-Keyword-Try-0.10|0.10|PASS|PEVANS|Syntax-Keyword-Try-0.10|0.10|PASS
Sys-CpuAffinity|MOB|Sys-CpuAffinity-1.12|1.12|PASS|MOB|Sys-CpuAffinity-1.12|1.12|PASS
Sys-Filesystem|REHSACK|Sys-Filesystem-1.406|1.406|PASS|REHSACK|Sys-Filesystem-1.406|1.406|PASS
Sys-Filesystem-MountPoint|LEOCHARRE|Sys-Filesystem-MountPoint-1.02|1.02|PASS|LEOCHARRE|Sys-Filesystem-MountPoint-1.02|1.02|PASS
Sys-HostIP|XSAWYERX|Sys-HostIP-2.110|2.110|PASS|XSAWYERX|Sys-HostIP-2.110|2.110|PASS
